region,voting_results_available,voting_results_link
Královéhradecký,yes,http://www.kr-kralovehradecky.cz/scripts/detail.php?pgid=1674
Jihomoravský,yes,http://www.kr-jihomoravsky.cz/Default.aspx?ID=16&TypeID=1
St?edo?eský,ne,
Jiho?eský,yes,http://www.kraj-jihocesky.cz/index.php?par[id_v]=2208&par[lang]=CS&par[jednani_rok]=2016
Plze?ský,yes,http://usneseni.kr-plzensky.cz/Vzhled/HlasovaniJednani.aspx
Karlovarský,yes,http://www.kr-karlovarsky.cz/samosprava/dokumenty/Stranky/rada-zastupitelstvo/seznam-zast/Usnz_16.aspx
Ústecký,ne,
Liberecký,yes,http://liberecky-kraj.kraj-lbc.cz/zastupitelstvo/vysledky-hlasovani
Pardubický,yes,https://www.pardubickykraj.cz/zastupitelstvo
Vyso?ina,yes,http://www.kr-vysocina.cz/2016/ds-303209/p1=79038
Olomoucký,yes,https://www.kr-olomoucky.cz/zapisy-zok-cl-1184.html
Zlínský,ne,
Moravskoslezský,yes,http://www.msk.cz/cz/verejna_sprava/vystupy-z-jednani-zastupitelstva-35614/
